Organization Name,Address,State,Latitude,Longitude,Hours,Phone,Privacy for Video Meetings,Printer,Reservation Type,Reserve Here
Legal Assistance of Olmsted County - Rochester,"1700 N Broadway Suite 124, Rochester, MN, 55906",MN,44.0417242,-92.4595803,"By appointment only: 8:30am - 5pm, Appointments available to current clients, only. New clients can call 507-287-2036 to discuss an application for services.",(507) 287-2036,Yes,Yes,Call to Reserve,
Kittson County Law Library,"410 S 5th St Suite 204, Hallock, MN, 56728",MN,48.77209,-96.9400787,Monday - Friday 8am - 4:30pm,(218) 843-3674,Yes,Yes,Call to Reserve,
Pine River - Backus Family Center,"245 Barclay Ave., Pine River, MN, 56474",MN,46.7192013,-94.4031975,"By appointment only: Monday - Thursday 8am - 4pm, Friday 8am - 3pm, checked, Call 218-587-4292 to make an appointment",(218) 587-4292,Yes,Yes,,https://client.flexbooker.com/widget/1a3a2a11-553e-4fa6-a3fd-e70b6d0b41f6
Mid-Minnesota Legal Aid - St. Cloud,"110 6th Ave. S. Suite 200, St. Cloud, MN, 56301",MN,45.5595161,-94.157958,"By appointment only: 8:30am - noon, 1pm - 5pm",(507) 237-2981,Yes,Yes,Call to Reserve,
Mid-Minnesota Legal Aid - Willmar,"415 7th St. SW PO Box 1866, Willmar, MN, 56201",MN,45.1192093,-95.0514432,"By appointment only: 8:30am - noon, and 1pm - 4:30pm",(320) 235-9600,Yes,Yes,Call to Reserve,
New Horizons Crisis Center,"109 South 5th Street Suite 40, Marshall, MN, 56258",MN,44.448669,-95.792824,By appointment only: Monday - Friday 8:30am - 4:30pm,(507) 532-5764,Yes,Yes,Call to Reserve,
Otter Tail County Courthouse - Law Library,"121 W. Junius Ave., Fergus Falls, MN, 56537",MN,46.2799272,-96.0748754,Monday - Friday 8am - 4:30pm,(218) 560-7045,Yes,Yes,Call to Reserve,
The Advocates for Human Rights,"330 Second Avenue South Suite 800, Minneapolis, MN, 55401",MN,44.9790575,-93.2671179,Monday - Friday 8:30am - 5pm,(612) 341-3302,Yes,Yes,Call to Reserve,
Crookston Public Library,"110 N. Ash St., Crookston, MN, 56716",MN,47.7733944,-96.6046697,"Monday - Wednesday 10:30am - 6pm, Thursday - Friday 10:30am - 4pm, Saturday 10:30am - 3pm",(218) 281-4522,Yes,Yes,,https://client.flexbooker.com/widget/dbb05e79-77e9-4dea-b85a-bd2e98e4c903
Detroit Lakes Public Library,"1000 Washington Ave., Detroit Lakes, MN, 56501",MN,46.8156369,-95.8461244,"Monday - Thursday 9am - 7pm, Friday 9am - 6pm, Saturday 9am - 3pm",(218) 847-2168,Yes,Yes,,https://client.flexbooker.com/widget/5b256ca8-7842-47b0-a2e3-63f8944afab3
Breckenridge Public Library,"205 N. Seventh St., Breckenridge, MN, 56520",MN,46.2619901,-96.5853743,"Monday - Tuesday 11am - 7pm, Wednesday - Thursday 10am - 6pm, Friday 9am - 5pm, Saturday 9am - 1pm, Call 218-643-2113 to make a reservation",(218) 643-2113,Yes,Yes,,https://client.flexbooker.com/widget/824ddf1d-ab0a-4945-ba4f-49f7d3f3da3f
Fertile Public Library,"101 S. Mill St., Fertile, MN, 56540",MN,47.5337018,-96.2807486,"Tuesday, Thursday, Friday 10am - 6pm, Wednesday noon - 8pm, Monday & other times - call to make special arrangements",(218) 945-6137,Yes,Yes,,https://client.flexbooker.com/widget/40cbe4e9-9588-4d42-b246-b08d698a1c63
Bagley Public Library,"79 Spencer Ave. SW, Bagley, MN, 56621",MN,47.5216231,-95.3983491,"Tuesday 1pm - 7 pm, Wednesday 9am - 5pm, Thursday 1pm - 7pm, Friday 9am - 5pm, Saturday 9am - 1pm",(218) 694-6201,No,No,Walk-Ins Only,
Lake Agassiz - Moorhead Public Library,"118 5th St S, Moorhead, MN, 56560",MN,46.8730757,-96.77141,"Monday - Thursday 9am - 9pm, Friday - Saturday 10am - 6pm",(218) 233-7594,Yes,Yes,,https://client.flexbooker.com/widget/7dfe2eec-98dc-414e-b7d4-77756b06d366
Thief River Falls Public Library,"102 1st St E, Thief River Falls, MN, 56701",MN,48.1168421,-96.1811419,"Monday - Thursday 9am - 8:30pm, Friday 9am - 5pm, Saturday 10am - 5pm",(218) 681-4325,Yes,Yes,,https://client.flexbooker.com/widget/f75aff93-f588-48ae-924e-900cc882b33a
Carver County Law Library - Government Center Justice Center Building,"604 East 4th Street, Chaska, MN, 55318",MN,44.7875538,-93.5923469,Monday - Thursday 8:30am - 4pm,(952) 361-1564,Yes,Yes,Call to Reserve,
Grant County Offices Building,"15 Central Avenue North, Elbow Lake, MN, 56531",MN,45.9925011,-95.9763623,Monday - Friday 8am - 4pm,(218) 685-8200,No,No,Walk-Ins Only,
Pope County Human Services,"24 East Minnesota Avenue, Glenwood, MN, 56334",MN,45.6499624,-95.388994,By appointment only: Monday - Friday 8am - 4:30pm,(320) 634-7755,No,No,Walk-Ins Only,
Pelican Rapids Public Library,"25 W Mill, Pelican Rapids, MN, 56572",MN,46.5697248,-96.0846548,"By appointment only: Monday - Tuesday 10am - 7pm, Wednesday - Friday 10am - 6pm, Saturday 10am - 2pm, Call 218-863-7055 for appointment.",(218) 863-7055,Yes,Yes,Call to Reserve,
Anishinabe Legal Services,"411 1st Street NW, Cass Lake, MN, 56633",MN,47.378367,-94.6093456,By appointment only: Monday - Friday 8:30am - 4pm,(800) 422-1335,Yes,Yes,Call to Reserve,
Otter Tail County Human Services,"118 North Main, New York Mills, MN, 56567",MN,46.5201068,-95.3739928,"Monday - Friday, 8am - 4pm",(218) 998-8308,Yes,Yes,,https://client.flexbooker.com/widget/c03001ad-63f2-449e-9b19-6bea36989f2a
Northwest Indian Community Development Center,"1819 Bemidji AVE NW, Bemidji, MN, 56601",MN,47.4869328,-94.8801634,Monday - Friday 8am - 7pm,(218) 759-2022,Yes,Yes,Call to Reserve,
Roseau County Law Library,"606 5th Ave SW Room 20, Roseau, MN, 56751",MN,48.8392897,-95.7670764,By appointment only: Monday - Friday 8am - 4:30pm,(651) 297-7651,Yes,Yes,,https://client.flexbooker.com/widget/745b43d0-b76f-46f1-a21b-931c283966c5
Lake of the Woods Law Library,"206 8th Ave SE #250, Baudette, MN, 56623",MN,48.7102985,-94.5837878,Monday - Friday 7:30am - 4pm,(218) 634-1451,Yes,Yes,,
Red Lake Nation Tribal Court,"25060 Highway 1, Red Lake, MN, 56671",MN,47.8752139,-95.0327362,Monday - Friday 8am - 5pm,(218) 679-3303,No,Yes,Walk-Ins Only,
Legal Services of Northwest Minnesota - Moorhead,"1015 7th Ave. N., Moorhead, MN, 56560",MN,46.8825074,-96.7636225,"By appointment only: Monday - Friday 8am - 4:30pm, Call 1-800-450-8585 to schedule an appointment",(218) 233-8585,Yes,Yes,,https://client.flexbooker.com/widget/ebc10f01-dac6-4721-8747-f35a6a7121a1
Legal Services of Northwest Minnesota - Bemidji,"215 4th St. NW, Bemidji, MN, 56601",MN,47.471717,-94.8822402,"By appointment only: Monday - Friday 8am - 4:30pm, Call 1-800-450-8585 to schedule an appointment",(218) 751-9201,Yes,Yes,,https://client.flexbooker.com/widget/8b11579d-6bcd-4fb1-8e92-2c97852d0662
Legal Services of Northwest Minnesota - Alexandria,"426 Broadway St., Alexandria, MN, 56308",MN,45.8873394,-95.3778588,"By appointment only: Monday - Friday 8am - 4:30pm, Call 1-800-450-8585 to schedule an appointment",(800) 450-8585,Yes,Yes,,https://client.flexbooker.com/widget/4c6045b8-491e-4f36-a329-32c59956c48e
City of Tower,"602 Main Street, Tower, MN, 55790",MN,47.8051111,-92.2766725,By appointment only: 7:30am - 4pm,(218) 753-4070,Yes,Yes,Call to Reserve,
Community Health Service Inc. - Crookston,"310 S Broadway, Crookston, MN, 56716",MN,47.7718131,-96.6087929,Monday - Friday 8am - 4:30pm,(218) 281-3552,Yes,Yes,Call to Reserve,
WoMen's Rural Advocacy Programs Inc. (WRAP) - Granite Falls,"1593 11th Ave., Granite Falls, MN, 56241",MN,44.8076315,-95.5593951,"By appointment only: Monday - Friday 8am - 5pm, Call 800-639-2380 Option 4, or email missi@letswrap.com to schedule",(320) 564-2422,Yes,Yes,Call to Reserve,
Warroad Public Library,"202 N. Main Ave NE, Warroad, MN, 56763",MN,48.9070061,-95.3172483,"Monday, Tuesday, Wednesday, and Friday 10am - 5pm, Thursday 10am - 8pm",(218) 386-1283,No,No,Walk-Ins Only,
Promise Neighborhood,"1415 5th St North, St. Cloud, MN, 56304",MN,45.5615427,-94.1731419,By appointment only: Monday - Thursday 10am - 3pm,(320) 251-0571,Yes,Yes,,https://client.flexbooker.com/widget/d7a2bd0f-62d2-48b9-8ced-27ece9d854d8
White Earth Tribal Court,"35500 Eagleview Rd, Ogema, MN, 56569",MN,47.0856533,-95.8610906,Monday - Friday 8am - 4:30pm,(218) 983-3285,Yes,Yes,Call to Reserve,
Immigrant Law Center of Minnesota - St. Paul,"450 N. Syndicate Suite 200, St. Paul, MN, 55104",MN,44.954837,-93.154007,By appointment only for current clients by contacting your case handler: Monday - Friday 9am - 5pm,(651) 641-1011,Yes,Yes,,https://client.flexbooker.com/widget/254bb7c9-81ce-4291-92b0-ba0811687c81
International Falls Public Library,"750 4th St, International Falls, MN, 56649",MN,48.6022529,-93.4107067,"Monday - Tuesday 1pm - 7pm, Wednesday 12pm - 7pm, Thursday - Friday 12pm - 6pm, call for morning hours (varies)",(218) 283-8051,Yes,Yes,,https://client.flexbooker.com/widget/cbea7aac-823d-443d-b8f0-ae5b18ee8a2c
Justice North - Brainerd,"603 Oak Street, Brainerd, MN, 56401",MN,46.3530755,-94.2002566,Monday - Friday 8:30am - 4:30pm,(218) 829-1701,No,No,Walk-Ins Only,
Justice North - Duluth,"230 W. Superior Street, Suite 200, Duluth, MN, 55802",MN,46.7841013,-92.1016184,Monday - Friday 8:30am - 4:30pm,(218) 623-8100,No,No,Walk-Ins Only,
Justice North - Grand Rapids,"111 Golf Course Road, Suite 5, Grand Rapids, MN, 55744",MN,47.2215457,-93.5323893,"Monday - Friday, 8:30 AM - 4:30 PM",(218) 322-6020,No,No,Walk-Ins Only,
Kanabec County Courthouse,"18 S. Vine  Street, Mora, MN, 55051",MN,45.8771095,-93.2932833,Monday - Friday 8am - 4:30pm,(320) 629-7166,No,No,Walk-Ins Only,
Bois Forte Health Services - Vermilion,"1613 Farm Rd S, Tower, MN, 55790",MN,47.8235399,-92.3186274,Monday - Friday 8am - 4:30pm,(218) 753-2182,Yes,Yes,Call to Reserve,
Justice North - Virginia,"820 N 9th Street, Suite 150, Virginia, MN, 55792",MN,47.5304203,-92.546967,Monday - Friday 8am - 4:30pm,(218) 749-3270,No,No,Walk-Ins Only,
North Shore Area Partners,"36 Shopping Center Rd, Silver Bay, MN, 55614",MN,47.29418,-91.2714203,"Monday - Thursday 8:30 am - 4 pm, Closed Friday",(218) 226-3635,Yes,Yes,Call to Reserve,
Mankato Islamic Center,"329 North Broad Street, Mankato, MN, 56001",MN,44.1686721,-93.9972675,Friday 11am-2pm,(507) 779-7855,Yes,Yes,Call to Reserve,
The Hub,"10 N. Broadway, Grand Marais, MN, 55604",MN,47.7498123,-90.3327826,"By appointment only: Monday - Friday 8am - 4pm, Call 218-387-2660 to make an appointment",(218) 387-2660,Yes,Yes,Call to Reserve,
Goodhue County District Court,"454 W 6th Street, Red Wing, MN, 55066",MN,44.5625255,-92.5329982,8am - 4pm. Walk-ins welcome!,(651) 267-4816,Yes,Yes,Call to Reserve,
COPAL,"3702 E Lake St, Minneapolis, MN, 55406",MN,44.9485371,-93.2188936,"Monday - Friday, 9 AM to 5 PM",(612) 427-2011,Yes,Yes,Call to Reserve,
United Way of Steele County,"1850 Austin Road Ste 103, Owatonna, MN, 55060",MN,44.0652473,-93.2168931,"8am - 5pm, Schedule appointment online at www.unitedwaysteelecounty.org or call 507-455-1180",(507) 455-1180,No,No,Walk-Ins Only,
Comunidades Latinas Unidas En Servicio (CLUES) - St. Paul,"797 East 7th Street, St. Paul, MN, 55106",MN,44.9613987,-93.0674732,By appointment only: Monday - Thursday 8:30am - 7pm and Friday 8:30am - 5pm,(651) 379-4200,Yes,Yes,Call to Reserve,
Somali Community Resettlement Services,"201 S Lyndale Ave, Suite W, Faribault, MN, 55021",MN,44.2891297,-93.2893242,Monday - Friday 9:30 - 4:00,(507) 384-3553,Yes,Yes,Call to Reserve,
HOPE Coalition,"1926 Old West Main Suite 104, Red Wing, MN, 55066",MN,44.5639979,-92.55768,By appointment only: Monday - Friday 8:30am - 4:30pm,(651) 388-9360,Yes,Yes,Call to Reserve,
Cook County Higher Education,"300 West 3rd Street, Grand Marais, MN, 55604",MN,47.7530311,-90.337915,"By appointment only: Monday - Thursday 9am - 5pm and Friday 9am-4pm, or by key access 24/7",(218) 387-3411,Yes,Yes,Call to Reserve,
WoMen's Rural Advocacy Programs Inc. (WRAP) - Redwood Falls,"243 East 2nd St., Redwood Falls, MN, 56283",MN,44.5406171,-95.1171685,"By appointment only: Monday - Friday 8:30am - 4:30pm, Call 800-639-2380 Option 2 or 3, or email brittany@letswrap.com to schedule",(507) 637-3040,Yes,Yes,Call to Reserve,
Cook County Law Library,"411 W. Second Street, Grand Marais, MN, 55604",MN,47.7525455,-90.3393041,"By appointment only: 8am - 4pm, Call County Attorney's Office to make an appointment: (218) 387-3670",(218) 387-3670,No,No,Walk-Ins Only,
Latino Economic Development Center,"804 Margaret Street, St. Paul, MN, 55106",MN,44.9610396,-93.0667236,By appointment only: 9am - 5pm,(612) 724-5332,No,No,Walk-Ins Only,
African Immigrants Community,"1433 E Franklin Ave Suite 13B, Minneapolis, MN, 55404",MN,44.9624086,-93.2535946,9:30am - 5pm,(612) 871-9481,Yes,Yes,Call to Reserve,
YouthLink Home of the Youth Opportunity Center,"41 N. 12th Street, Minneapolis, MN, 55403",MN,44.976406,-93.2819501,9am - 6pm,(612) 252-1200,Yes,Yes,Call to Reserve,
Virginia Housing and Redevelopment Authority - 3rd Avenue,"600 N 3rd Avenue, Virginia, MN, 55792",MN,47.5281156,-92.5353263,Monday - Friday 8am - 4:30pm,(218) 741-2610,No,No,Walk-Ins Only,
Southern Minnesota Regional Legal Services (SMRLS) - Rochester,"903 West Center Street, Suite 230, Rochester, MN, 55902",MN,44.0238162,-92.4770442,Monday - Friday 8:30 am - 4:30pm,(507) 292-0080,Yes,Yes,,https://a.flexbooker.com/widget/8bbfeb74-9481-4e78-b763-a48259ac7be3
Anoka County Law Library,"2100 3rd Ave., Anoka, MN, 55303",MN,45.1991999,-93.3861066,Monday - Friday 8am - 4:30pm,(763) 324-5560,Yes,Yes,Call to Reserve,
360 Communities Rosemount Family Resource Center,"14521 Cimarron Ave West, Rosemount, MN, 55068",MN,44.7388025,-93.141167,"Monday, Wednesday and Thursday 9am-3:30pm and Tuesdays 9-3:30 and 5-7pm. ",(651) 322-5113,No,Yes,Walk-Ins Only,
360 Communities Burnsville Family Resource Center,"501 E. Hwy 13 Suite 112, Burnsville, MN, 55337",MN,44.7756272,-93.2821526,"Monday - Thursday 9:30am - 3:30pm, Appointments preferred but not required. Please call 952-985-5300 to schedule an appointment.",(952) 985-5300,No,Yes,Walk-Ins Only,
NorthPoint Health & Wellness,"2220 N. Plymouth Ave, Suite 1600, Minneapolis, MN, 55411",MN,44.9922589,-93.3086653,By appointment only: Monday - Thursday 9am - 5pm,(612) 767-9500,Yes,Yes,Call to Reserve,
The Landing,"426 3rd Ave. SE, Rochester, MN, 55904",MN,44.0184363,-92.4584318,"7 days/week, 8am - 7pm",(507) 884-0423,Yes,Yes,Call to Reserve,
Watonwan County/St. James Library and Multi-Cultural Learning Center,"125 5th St S, St. James, MN, 56081",MN,43.9810383,-94.6284903,"Monday - Friday 10am - 6pm, Saturday 10am - noon",(507) 375-1278,No,No,Walk-Ins Only,
Community Health Service Inc. - Rochester,"1926 Collegeview Rd SE, Rochester, MN, 55904",MN,44.0206377,-92.4367772,9am - 5pm,(507) 529-0503,Yes,Yes,Call to Reserve,
Scott County Law Library,"200 4th Ave West, Shakopee, MN, 55379",MN,44.7948949,-93.5271399,Monday - Friday 8am - 4:30pm,(952) 496-8713,,Yes,,
Damiano of Duluth,"206 W 4th St, Duluth, MN, 55806",MN,46.7872529,-92.1052039,"By appointment only Monday - Friday 9am - 3pm, for an appointment, email info@damianocenter.org with subject: Legal Kiosk",(218) 722-8708,No,Yes,Walk-Ins Only,
Leech Lake Band of Ojibwe Justice Center,"200 Sailstar Drive NW, Cass Lake, MN, 56633",MN,47.3844871,-94.600914,By appointment only: Monday - Friday 8am - 4:30pm,(218) 335-8200,Yes,Yes,Call to Reserve,
C.A.R.E. Clinic,"906 College Ave Door #1, Red Wing, MN, 55066",MN,44.5591707,-92.5378574,"Monday - Thursday 8am - 4:30pm, Walk-in Clinic 4pm - 8 pm Tuesday",(651) 388-1022,No,No,Walk-Ins Only,
Hennepin County Law Library,"300 S. 6th Street C2451 , Minneapolis, MN, 55487",MN,44.9757973,-93.2662845,Monday-Friday 8am - 5pm,(612) 348-3022,Yes,Yes,Call to Reserve,
Dakota County Law Library - Hastings,"1560 Highway 55, Hastings, MN, 55033",MN,44.7406178,-92.8860362,Monday - Friday 8am - 4:30pm,(651) 438-8080,Yes,Yes,Call to Reserve,
Minnesota DEED CareerForce - Brooklyn Park,"7225 Northland Drive, Brooklyn Park, MN, 55428",MN,45.0867076,-93.3982042,"Monday - Friday, 8 AM - 4:30 PM",(763) 279-4400,No,No,Walk-Ins Only,
St. Louis County Law Library - Duluth,"100 North 5th Avenue West Room 15, Duluth, MN, 55802",MN,46.7834827,-92.1065971,8am - 4:30pm,(218) 726-2611,Yes,Yes,Call to Reserve,
Minnesota DEED CareerForce - West Broadway Avenue Minneapolis,"800 West Broadway Avenue, Minneapolis, MN, 55411",MN,44.9994549,-93.2899618,"Monday, Wednesday-Friday, 8 AM to 4:30 PM, Tuesday, 8 AM to 8 PM",(612) 299-7200,No,No,Walk-Ins Only,
St. Louis County Law Library - Virginia,"300 S. 5th Ave, Virginia, MN, 55792",MN,47.5209059,-92.5378003,8am - 4:30pm,(218) 749-7106,No,No,Walk-Ins Only,
St. Louis County Law Library - Hibbing,"1810 12th Ave E, Hibbing, MN, 55746",MN,47.4286916,-92.9263004,8am - 4:30pm,(218) 726-2311,No,No,Walk-Ins Only,
Southwest Minnesota State University – Public Safety,"1501 State St., Founders Hall 108, Marshall, MN, 56258",MN,44.4547198,-95.7591943,Monday - Friday 8am - 4:30pm,(507) 537-7252,Yes,Yes,Call to Reserve,
Churches United - Dorothy Day Food Pantry,"1308 Main Avenue, Moorhead, MN, 56560",MN,46.8741088,-96.7590119,"Monday - Friday 8am - 4pm, Emergency Shelter: 24/7",(218) 656-7495,No,Yes,Walk-Ins Only,
African Community Services,"1305 East 24th Street, Minneapolis, MN, 55404",MN,44.9589447,-93.2558538,9am - 5pm,(612) 721-9984,Yes,Yes,Call to Reserve,
Wheaton Community Library,"901 1st Ave. N., Wheaton, MN, 56296",MN,45.8051419,-96.4958125,"Monday 10am - 5pm, Tuesday - Thursday 10am - 6pm, Friday 10am-5pm, Saturday 9am-12pm",(320) 563-8487,No,Yes,Walk-Ins Only,
CAPLP - Lakes & Prairies Community Action Partnership - Breckenridge,"311 5th Street S, Breckenridge, MN, 56520",MN,46.2605539,-96.5883027,By appointment only: Monday - Friday 8am - 4:30pm,(218) 643-2888,No,No,Walk-Ins Only,
Clearwater County Law Library,"213 N. Main Ave., Bagley, MN, 56621",MN,47.5137803,-95.6369418,Monday - Friday 8:30am - 4:30pm,(218) 694-6566,Yes,Yes,Call to Reserve,
Onigum Community Center,"8831 Onigum Road NW, Walker, MN, 56484",MN,47.1072928,-94.546729,By appointment only: Monday - Friday 8am - 4:30pm,(218) 547-2227,Yes,Yes,Call to Reserve,
Bena Community Center,"15085 Old Housing Drive, Bena, MN, 56626",MN,47.3505521,-94.2234482,By appointment only: Monday - Friday 8am - 4:30pm,(218) 665-2261,Yes,Yes,Call to Reserve,
Ball Club Community Center,"30975 Arctic Road, Deer River, MN, 56636",MN,47.3247299,-93.936798,By appointment only: Monday - Friday 8am - 4:30pm,(218) 246-8210,Yes,Yes,Call to Reserve,
Inger Community Center,"53736 Co Road 146, Deer River, MN, 56636",MN,47.5520212,-93.9768108,By appointment only: Monday - Friday 8am - 4:30pm,(218) 659-2652,Yes,Yes,Call to Reserve,
Kego Lake Community Center,"06159 Kego Lake Trail NE, Longville, MN, 56655",MN,47.0264108,-94.1910764,By appointment only: Monday - Friday 8am - 4:30pm,(218) 363-0322,Yes,Yes,Call to Reserve,
Dakota County Law Library - Apple Valley,"14955 Galaxie Ave., Apple Valley, MN, 55124",MN,44.732963,-93.2096801,Monday - Friday 8am - 4:30pm,(651) 438-8080,Yes,Yes,Call to Reserve,
Dakota County Law Library - St. Paul,"NSC 1 Mendota Rd West, St. Paul, MN, 55118",MN,44.8844222,-93.0866497,Monday - Friday 8am - 4:30pm,(651) 377-7378,No,Yes,Walk-Ins Only,
Immigrant Law Center of Minnesota - Worthington,"1206 Oxford Street, Worthington, MN, 56187",MN,43.630848,-95.5974658,By appointment only for current clients by contacting your case handler: Monday - Friday 9am - 5pm,(654) 641-1011,Yes,Yes,,https://client.flexbooker.com/widget/7f710be7-4149-4023-a00d-f274263c77be
Bois Forte Health Services - Nett Lake,"5219 St. Johns Drive, Nett Lake, MN, 55772",MN,48.1100334,-93.096901,Monday - Friday 8am - 4:30pm,(218) 757-3650,No,No,Walk-Ins Only,
Comunidades Latinas Unidas En Servicio (CLUES) - Austin,"111 Main St. N, Austin, MN, 55912",MN,43.6670019,-92.9751732,"By appointment only: Monday - Friday 8:30am - 5pm, Call 507-355-2575 to schedule an appointment",(507) 355-2575,Yes,Yes,Call to Reserve,
Northtown Library,"711 County Hwy 10 NE, Blaine, MN, 55434",MN,45.1270237,-93.2526458,"Monday and Thursday 11am - 7pm, Tuesday - Wednesday 10am - 6pm, Friday - Saturday 10am - 5pm, Sun 12pm - 4pm",(763) 324-1510,Yes,Yes,Call to Reserve,
Justice North - Pine City,"1015 Hillside Avenue SW, Ste 4, Pine City , MN, 55063",MN,45.8199244,-92.9769426,By appointment only,(320) 629-7166,No,No,Walk-Ins Only,
Virginia Housing and Redevelopment Authority - Pine Mill Court,"442 Pine Mill Court, Virginia, MN, 55792",MN,47.5195077,-92.5509701,Monday - Friday 8am - 4pm,(218) 741-2610,No,Yes,Walk-Ins Only,
Roseau Public Library,"121 Center S Suite 101, Roseau, MN, 56751",MN,48.8460926,-95.762766,"Monday, Tuesday, Wednesday, and Friday 10am - 5pm, Thursday 10am - 8pm",(218) 463-2825,Yes,Yes,,https://client.flexbooker.com/widget/53e11123-dbdf-49a1-8095-d31c7bd89b5c
Phyllis Wheatley Community Center,"1301 10th Ave N, Minneapolis, MN, 55411",MN,44.9875896,-93.2957969,Monday - Friday 8:30am - 5pm,(612) 374-4342,No,No,Walk-Ins Only,
Clay County Law Library,"807 11th Street North, Moorhead, MN, 56560",MN,46.8842559,-96.7638841,"By appointment only: Monday - Wednesday 8am - 2pm, Call 218-299-7522 to make an appointment",(218) 299-7522,Yes,Yes,Call to Reserve,
Buckham West,"19 West Division Street, Faribault, MN, 55021",MN,44.2901202,-93.2691299,"By appointment only: Monday - Friday 9 am - 2pm, call 507-332-7357 to schedule an appointment",(507) 332-7357,Yes,Yes,Call to Reserve,
Lyon County Library - Marshall,"201 C Street, Marshall, MN, 56258",MN,44.4406344,-95.7850477,"Monday - Friday 10am - 6pm, Saturday 10am - 2pm",(507) 537-7003,No,No,Walk-Ins Only,
Community Emergency Assistance Programs INC,"7051 Brooklyn Blvd, Brooklyn Center, MN, 55429",MN,45.0836716,-93.3411961,By appointment only: Monday - Friday 8am - 4:30pm,(763) 566-9600,No,No,,https://client.flexbooker.com/widget/1fa5630e-6365-4dc6-8b53-2fc88c9846e4
Division of Indian Work,"1001 East Lake Street, Minneapolis, MN, 55407",MN,44.9481233,-93.2592663,Monday-Friday 11 am-3 pm,(612) 722-8722,Yes,Yes,Call to Reserve,
Listening House of St. Paul,"421 E 7th St, Saint Paul, MN, 55101",MN,44.9537022,-93.0833501,"Wednesday - Sunday, 12 pm to 6 pm",(651) 227-5911,Yes,Yes,Call to Reserve,
Hoyt Lakes Public Library,"206 Kennedy Memorial Drive, Hoyt Lakes, MN, 55750",MN,47.5191303,-92.1456829,"Monday - Friday 10am - 5pm, Saturday 10am - 2pm during the school year",(218) 225-2412,Yes,Yes,Call to Reserve,
Becker County Law Library,"915 Lake Avenue, Detroit Lakes, MN, 56501",MN,46.8166576,-95.8464722,Monday - Friday 8:30am - 4:30pm,(218) 846-7200 ext 7115,No,No,Walk-Ins Only,
